SMILES,MIC
CC(C(CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O1)=C1C(C)=C2C)=C2OCC3=CN(N=N3)C4=C(C=CC=C5)C5=CC=C4,250.0
CC(C(CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O1)=C1C(C)=C2C)=C2OCC3=CN(N=N3)C4=CC(SC=N5)=C5C=C4,650.0
CC(C(CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O1)=C1C(C)=C2C)=C2OCC3=CN(N=N3)C4=CN=C(C=CC=C5)C5=C4,240.0
CC(C(CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O1)=C1C(C)=C2C)=C2OCC3=CN(C4=NNC=C4)N=N3,190.0
NN1C(SCCSC2=NN=C(C3=CC=CC=C3)O2)=NN=C1C1=CNC2=CC=CC=C21,64.0
CC1=CC=CC(C2=NN=C(SCCSC3=NN=C(C4=CNC5=CC=CC=C54)N3N)O2)=C1,64.0
CC1=CC=C(C2=NN=C(SCCSC3=NN=C(C4=CNC5=CC=CC=C54)N3N)O2)C=C1,16.0
NN1C(C2=CNC3=CC=CC=C32)=NN=C1SCCSC(O4)=NN=C4C5=C(OC)C=CC=C5,32.0
NN1C(SCCSC2=NN=C(O2)C3=CC=CC(OC)=C3)=NN=C1C4=CNC5=CC=CC=C45,8.0
CCOC1=CC=CC=C1C1=NN=C(SCCSC2=NN=C(C3=CNC4=CC=CC=C43)N2N)O1,64.0
NN1C(SCCSC2=NN=C(C3=CC=C(F)C=C3)O2)=NN=C1C1=CNC2=CC=CC=C21,32.0
NN1C(SCCSC2=NN=C(C3=CC=C(Cl)C=C3)O2)=NN=C1C1=CNC2=CC=CC=C21,64.0
CC1=CC=C(C2=NN=C(SCCSC3=NN=C(C4=CNC5=CC=CC=C54)N3N)O2)C(C)=C1,128.0
NC1=CC=C(C2=NN=C(SCCSC3=NN=C(C4=CNC5=CC=CC=C54)N3N)O2)C=C1,2.0
NN1C(C2=CNC3=CC=CC=C23)=NN=C1SCCSC4=NN=C(C5=C(C=CC=C6)C6=CC=C5)O4,64.0
SC1=NN=C(N1/N=C/C2=CC=C(Br)C=C2)C3=NC=CN=C3,50.0
SC1=NN=C(N1/N=C/C2=CC=C(Cl)C=C2)C3=NC=CN=C3,50.0
SC1=NN=C(N1/N=C/C2=CC=C(C)C=C2)C3=NC=CN=C3,25.0
SC1=NN=C(N1/N=C/C2=CC=C(Cl)C=C2Cl)C3=NC=CN=C3,50.0
SC1=NN=C(N1/N=C/C2=CC=C(OC)C(OC)=C2)C3=NC=CN=C3,12.5
SC1=NN=C(N1/N=C/C2=CC(OC)=C(OC)C=C2OC)C3=NC=CN=C3,25.0
SC1=NN=C(N1/N=C/C2=CC(OC)=C(OC)C(OC)=C2)C3=NC=CN=C3,12.5
SC1=NN=C(N1/N=C/C2=CC=CC=C2OC)C3=NC=CN=C3,25.0
SC1=NN=C(N1/N=C/C2=CC=CC=C2O)C3=NC=CN=C3,50.0
SC1=NN=C(N1/N=C/C2=CC=C(O)C=C2)C3=NC=CN=C3,1.56
SC1=NN=C(N1/N=C/C2=CC=C(O)C(O)=C2)C3=NC=CN=C3,25.0
SC1=NN=C(N1/N=C/C=C/C2=CC=CC=C2)C3=NC=CN=C3,50.0
C=C(CNN1C(=O)CSC1C1=CC=C(Br)C=C1)NN1C(C2=CC=NC=C2)=NNC1S,25.0
O=C(CNN1C(=O)CSC1C1=CC=C(F)C=C1)NN1C(C2=CC=NC=C2)=NNC1S,3.125
O=C(CNN1C(=O)CS[C@H]1C1=CC=C(F)C=C1)NN1C(C2=CC=C(Cl)C=C2)=NN[C@@H]1S,6.25
