SMILES,Structure,Species,MIC
SC1=NN=C(N1/N=C/C2=CC=C(OC)C(OC)=C2)C3=NC=CN=C3,H10，R2=OCH3，R3=OCH3,S.aureus,12.5
SC1=NN=C(N1/N=C/C2=CC(OC)=C(OC)C=C2OC)C3=NC=CN=C3,H11，R1=OCH3，R3=OCH3，R4=OCH3,S.aureus,25
SC1=NN=C(N1/N=C/C2=CC(OC)=C(OC)C(OC)=C2)C3=NC=CN=C3,H12，R2=OCH3，R3=OCH3，R4=OCH3,S.aureus,12.5
SC1=NN=C(N1/N=C/C2=CC=CC=C2OC)C3=NC=CN=C3,H13，R1=OCH3,S.aureus,25
SC1=NN=C(N1/N=C/C2=CC=CC=C2O)C3=NC=CN=C3,H16，R1=OH,S.aureus,50
SC1=NN=C(N1/N=C/C2=CC=C(O)C=C2)C3=NC=CN=C3,H17，R3=OH,S.aureus,1.56
SC1=NN=C(N1/N=C/C2=CC=C(O)C(O)=C2)C3=NC=CN=C3,H19，R2=OH，R3=OH,S.aureus,25
SC1=NN=C(N1/N=C/C=C/C2=CC=CC=C2)C3=NC=CN=C3,,S.aureus,50
C=C(CNN1C(=O)CSC1C1=CC=C(Br)C=C1)NN1C(C2=CC=NC=C2)=NNC1S,,S.aureus,25
O=C(CNN1C(=O)CSC1C1=CC=C(F)C=C1)NN1C(C2=CC=NC=C2)=NNC1S,,S.aureus,3.125
O=C(CNN1C(=O)CS[C@H]1C1=CC=C(F)C=C1)NN1C(C2=CC=C(Cl)C=C2)=NN[C@@H]1S,,S.aureus,6.25
C[C@@H]1SC(C2=CC=C(Br)C=C2)C(NCC(=O)NN2C(C3=CC=C(Cl)C=C3)=NN[C@@H]2S)C1=O,,S.aureus,12.5
O=C(CNN1C(=O)CSC1C1=CC=CC=C1Cl)NN1C(C2=CC=NC=C2)=NNC1S,,S.aureus,12.5
