step,mean_reward,valid_rate
977,0.451496,0.937500
978,0.444347,0.960938
979,0.446502,0.968750
980,0.448526,0.976562
981,0.450570,0.968750
982,0.446241,0.953125
983,0.452803,0.984375
984,0.451200,0.960938
985,0.451246,0.945312
986,0.450741,0.968750
987,0.451593,0.929688
988,0.454467,0.976562
989,0.456374,0.960938
990,0.449357,0.960938
991,0.452897,0.976562
992,0.446930,0.953125
993,0.443139,0.929688
994,0.453141,0.945312
995,0.454769,0.960938
996,0.457077,0.960938
997,0.450790,0.968750
998,0.454660,0.984375
999,0.453722,0.968750
1000,0.460022,0.937500
1001,0.453353,0.937500
1002,0.453310,0.945312
1003,0.454903,0.976562
1004,0.453799,0.960938
1005,0.451110,0.945312
1006,0.461555,0.945312
1007,0.459265,0.937500
1008,0.455803,0.968750
1009,0.453509,0.929688
1010,0.454259,0.937500
1011,0.458916,0.906250
1012,0.457596,0.953125
1013,0.454423,0.976562
1014,0.455308,0.968750
1015,0.452227,0.953125
1016,0.452737,0.890625
1017,0.457451,0.906250
1018,0.456118,0.960938
1019,0.458324,0.921875
1020,0.462538,0.921875
1021,0.459823,0.921875
1022,0.460911,0.945312
1023,0.462550,0.968750
1024,0.457663,0.929688
1025,0.457067,0.929688
1026,0.463087,0.968750
1027,0.451695,0.937500
1028,0.464305,0.960938
1029,0.459061,0.945312
1030,0.450875,0.976562
1031,0.452336,0.960938
1032,0.457638,0.953125
1033,0.459311,0.937500
1034,0.462632,0.937500
1035,0.454443,0.929688
1036,0.460599,0.929688
1037,0.460041,0.953125
1038,0.459452,0.960938
1039,0.453543,0.953125
1040,0.455882,0.945312
1041,0.463143,0.914062
1042,0.456813,0.882812
1043,0.462948,0.968750
1044,0.459207,0.953125
1045,0.455928,0.875000
1046,0.456128,0.921875
1047,0.457264,0.945312
1048,0.460842,0.851562
1049,0.463209,0.914062
1050,0.460484,0.914062
1051,0.463298,0.875000
1052,0.461605,0.968750
1053,0.457043,0.945312
1054,0.461832,0.945312
1055,0.462016,0.914062
1056,0.459165,0.898438
1057,0.462263,0.914062
1058,0.459557,0.906250
1059,0.449136,0.976562
1060,0.463142,0.914062
1061,0.457640,0.890625
1062,0.460281,0.960938
1063,0.463031,0.921875
1064,0.458743,0.914062
1065,0.461855,0.898438
1066,0.461410,0.906250
1067,0.455751,0.890625
1068,0.462643,0.835938
1069,0.462651,0.890625
1070,0.456669,0.859375
1071,0.461038,0.921875
1072,0.460708,0.914062
1073,0.463203,0.828125
1074,0.462911,0.890625
1075,0.460025,0.890625
1076,0.458507,0.882812
1077,0.459682,0.812500
1078,0.462713,0.859375
1079,0.458471,0.882812
1080,0.461948,0.914062
1081,0.455686,0.812500
1082,0.462141,0.843750
1083,0.466487,0.875000
1084,0.460360,0.867188
1085,0.462532,0.898438
1086,0.460465,0.820312
1087,0.466739,0.859375
1088,0.464029,0.789062
1089,0.465985,0.812500
1090,0.466397,0.898438
1091,0.460830,0.921875
1092,0.461716,0.859375
1093,0.461992,0.843750
1094,0.453852,0.906250
1095,0.466742,0.843750
1096,0.462301,0.882812
1097,0.461934,0.835938
1098,0.460861,0.890625
1099,0.453384,0.890625
1100,0.463520,0.843750
1101,0.466205,0.882812
1102,0.457427,0.851562
1103,0.465916,0.843750
1104,0.461005,0.867188
1105,0.456972,0.843750
1106,0.461556,0.875000
1107,0.464744,0.851562
1108,0.460506,0.835938
1109,0.464012,0.820312
1110,0.463533,0.914062
1111,0.466216,0.851562
1112,0.457363,0.859375
1113,0.466861,0.859375
1114,0.462347,0.835938
1115,0.465428,0.820312
1116,0.463140,0.906250
1117,0.460188,0.843750
1118,0.460056,0.835938
1119,0.463853,0.921875
1120,0.466413,0.898438
