,smiles,化合物结构,化合物结构,阳性菌 MIC (μg/mL),,,,,阴性菌 MIC (μg/mL),,,,细胞毒性,期刊名、卷、页码,文献原始数据截图,备注,,
,CCOC1=CC=C2N3C(SC2=C1)=NC(C4=CC=CC=C4)=C3CO(C5=CN(CC6=CC=CC(F)=C6)N=N5)C,CCOC1=CC=C2N3C(SC2=C1)=NC(C4=CC=CC=C4)=C3CO(C5=CN(CC6=CC=CC(F)=C6)N=N5)C,5n，R1=-OEt，R2=H，R3=F，R4=H,128,128,128,16,,16,128,128,64,中毒,,,64,,
1464,,,,S.aureus,,,,,,,,,,European Journal of Medicinal Chemistry 150 (2018) 729e741,,,,
,O=P(O)(C[C@H](C(OCC)=O)OCC1=CN(CCCCCCCCCCCC)N=N1)OCCCNCC(C=C2)=CC=C2C3=CC=CC=C3,O=P(O)(C[C@H](C(OCC)=O)OCC1=CN(CCCCCCCCCCCC)N=N1)OCCCNCC(C=C2)=CC=C2C3=CC=CC=C3,,4.221,,,,,,,,,微毒,,,,,
,O=C(OCC)[C@H](OCC1=CN(CCCCCCCCCCCC)N=N1)CP(OCCCNCC2=CC=C3C=CC=CC3=C2)(O)=O,O=C(OCC)[C@H](OCC1=CN(CCCCCCCCCCCC)N=N1)CP(OCCCNCC2=CC=C3C=CC=CC3=C2)(O)=O,,4.0572,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,O=P(O)(C[C@H](C(OCC)=O)OCC1=CN(CCCCCCCCCCCC)N=N1)OCCCN(C)CC(C=C2)=CC=C2C3=CC=CC=C3,O=P(O)(C[C@H](C(OCC)=O)OCC1=CN(CCCCCCCCCCCC)N=N1)OCCCN(C)CC(C=C2)=CC=C2C3=CC=CC=C3,8，R=Et，Y=Me,4.3092,,,,,,,,,微毒,,,,,
,O=P(O)(C[C@H](C(OCC)=O)OCC1=CN(CCCCCCCCCCCC)N=N1)OCCCN(CC2=CC=C(C3=CC=CC=C3)C=C2)CC(C=C4)=CC=C4C5=CC=CC=C5,O=P(O)(C[C@H](C(OCC)=O)OCC1=CN(CCCCCCCCCCCC)N=N1)OCCCN(CC2=CC=C(C3=CC=CC=C3)C=C2)CC(C=C4)=CC=C4C5=CC=CC=C5,9，R=Et，Y=BiPh-4-CH2,374.8,,,,,,,,,微毒,,,,,
,O=P(O)(C[C@H](C(OCC)=O)OCC1=CN(CCCCCCCCCCCC)N=N1)OCCCNCC(C=C2)=CC=C2C3=CC=CC=C3,O=P(O)(C[C@H](C(OCC)=O)OCC1=CN(CCCCCCCCCCCC)N=N1)OCCCNCC(C=C2)=CC=C2C3=CC=CC=C3,,4.0572,,,,,,,,,微毒,,,,,
1466,,,,"S.aureus ATCC
43300
(MRSA)",,,,,"E.coli ATCC
25922","P. aeruginosa ATCC
27853","K pneumoniae ATCC
700603","  A. baumannii   ATCC
  19606",,European Journal of Medicinal Chemistry 168 (2019) 386e404,,,,
,,,38 AA=Lys，R=Bn，Biphenyl,16,,,,,>32,32,>32,32,中毒,,,,,
,,,39 AA=Lys，R=PhEt，Biphenyl,16,,,,,32,32,32,  >32,高毒,,,,,
,,,40 AA=Lys，R=OBn，Biphenyl,16,,,,,32,32,>32,32,高毒,,,,,
,,,41 AA=Arg，R=Bn，Biphenyl,16,,,,,>32,>32,>32,  >32,中毒,,,,,
,,,42 AA=Arg，R=PhEt，Biphenyl,16,,,,,>32,>32,>32,  >32,中毒,,,,,
,,,43 AA=Arg，R=OBn，Biphenyl,8,,,,,>32,>32,>32,  >32,中毒,,,,,
,,,44 AA=Lys，R=Bn，S-Binaphthyl,8,,,,,>32,>32,>32,  >32,高毒,,,,,
,,,45 AA=Lys，R=OBn，S-Binaphthyl,4,,,,,>32,>32,>32,  >32,高毒,,,,,
,,,61 AA=Arg，R=Bn，S-Binaphthyl,4,,,,,>32,>32,>32,  >32,中毒,,,,,
,,,62 AA=Arg，R=PhEt，S-Binaphthyl,4,,,,,>32,>32,>32,  >32,中毒,,,,,
,,,63 AA=Arg，R=OBn，S-Binaphthyl,4,,,,,>32,>32,>32,  >32,中毒,,,,,
,,,,,,,,,,,,,,,,,,
,,,68 R=Bn，Biphenyl,4,,,,,16,32,32,32,中毒,,,,,
,,,69 R=Fmo，Biphenyl,4,,,,,>32,>32,>32,  >32,中毒,,,,,
,,,70 R=Bn，S-Binaphthyl,2,,,,,8,16,32,32,中毒,,,,,
,,,71 R=PhEt，S-Binaphthyl,2,,,,,8,16,32,32,中毒,,,,,
1484,,,,S.aureus,,,,,E.coli,Paeruginosa,Pvulgaris,,,Chemical Data Collections 32 (2021) 100651 ,,,,
R=,O=C(OCC1=CN(CC2=CC=CC=C2)N=N1)/C=C/C3=COC4=C(C=C(C)C=C4)C3=O,O=C(OCC1=CN(CC2=CC=CC=C2)N=N1)/C=C/C3=COC4=C(C=C(C)C=C4)C3=O,,99.89712,,,,,99.89712,499.4856,0,,中毒,,,,,
,O=C(OCC1=CN(CC2=CC=CC=C2F)N=N1)/C=C/C3=COC4=C(C=C(C)C=C4)C3=O,O=C(OCC1=CN(CC2=CC=CC=C2F)N=N1)/C=C/C3=COC4=C(C=C(C)C=C4)C3=O,,499.51085,,,,,499.51085,499.51085,499.51085,,高毒,,,,,
,O=C(OCC1=CN(CC2=CC=CC(F)=C2)N=N1)/C=C/C3=COC4=C(C=C(C)C=C4)C3=O,O=C(OCC1=CN(CC2=CC=CC(F)=C2)N=N1)/C=C/C3=COC4=C(C=C(C)C=C4)C3=O,,499.51085,,,,,49.94899,49.94899,49.94899,,高毒,,,,,
,CC1=CC=C2OC=C(/C=C/C(=O)OCC3=CN(C4=CC=C(F)C=C4)N=N3)C(=O)C2=C1,CC1=CC=C2OC=C(/C=C/C(=O)OCC3=CN(C4=CC=C(F)C=C4)N=N3)C(=O)C2=C1,,499.51085,,,,,499.51085,499.51085,499.51085,,中毒,,,,,
,O=C(OCC1=CN(CC2=CC=CC(Cl)=C2)N=N1)/C=C/C3=COC4=C(C=C(C)C=C4)C3=O,O=C(OCC1=CN(CC2=CC=CC(Cl)=C2)N=N1)/C=C/C3=COC4=C(C=C(C)C=C4)C3=O,,99.916765,,,,,99.916765,99.916765,499.583825,,中毒,,,,,
,O=C(OCC1=CN(CC2=CC=C(Cl)C=C2)N=N1)/C=C/C3=COC4=C(C=C(C)C=C4)C3=O,O=C(OCC1=CN(CC2=CC=C(Cl)C=C2)N=N1)/C=C/C3=COC4=C(C=C(C)C=C4)C3=O,,99.916765,,,,,99.916765,49.956205,499.583825,,高毒,,,,,
,O=C(OCC1=CN(CC2=CC=CC=C2C)N=N1)/C=C/C3=COC4=C(C=C(C)C=C4)C3=O,O=C(OCC1=CN(CC2=CC=CC=C2C)N=N1)/C=C/C3=COC4=C(C=C(C)C=C4)C3=O,,998.9382,,,,,998.9382,998.9382,998.9382,,高毒,,,,,
,O=C(OCC1=CN(CC2=CC=CC(C)=C2)N=N1)/C=C/C3=COC4=C(C=C(C)C=C4)C3=O,O=C(OCC1=CN(CC2=CC=CC(C)=C2)N=N1)/C=C/C3=COC4=C(C=C(C)C=C4)C3=O,,499.4691,,,,,99.8905,99.8905,99.8905,,中毒,,,,,
,O=C(OCC1=CN(CC2=CC=C(C)C=C2)N=N1)/C=C/C3=COC4=C(C=C(C)C=C4)C3=O,O=C(OCC1=CN(CC2=CC=C(C)C=C2)N=N1)/C=C/C3=COC4=C(C=C(C)C=C4)C3=O,,499.4691,,,,,499.4691,499.4691,499.4691,,中毒,,,,,
,O=C(OCC1=CN(CC2=CC=C(Cl)C=C2Cl)N=N1)/C=C/C3=COC4=C(C=C(C)C=C4)C3=O,O=C(OCC1=CN(CC2=CC=C(Cl)C=C2Cl)N=N1)/C=C/C3=COC4=C(C=C(C)C=C4)C3=O,,49.9657,,,,,49.9657,49.9657,499.6805,,高毒,,,,,
1486,,,,S.aureus(μg/mL),M.tuberculosis（μg/mL）,,,,"E.Coli
(ug/mL)", P.aeruginosa,,,," ChemistrySelect2019,4,2685–2693",,,,
,ClC1=NC2=CC=C(OC)C=C2C=C1COCC3=CN(CC(C4=CC=C(F)C=C4)=O)N=N3,ClC1=NC2=CC=C(OC)C=C2C=C1COCC3=CN(CC(C4=CC=C(F)C=C4)=O)N=N3,,12.5,6.25,,,,25,25,,,低毒,,,,,
,,,,,,,,,,,,,,,,,,
,ClC1=NC2=CC=C(OC)C=C2C=C1C(NCC3=CN(CC(C4=CC=C(OC)C=C4)=O)N=N3)=O,ClC1=NC2=CC=C(OC)C=C2C=C1C(NCC3=CN(CC(C4=CC=C(OC)C=C4)=O)N=N3)=O,,6.25,1.6,,,,12.5,6.25,,,低毒,,,,,
